Imatest,4.5.13, , CPIQ Dot Chart Analysis
File,DotPattern_1.PNG
Run date,18-Jul-2017 10:37:10,,Build 2017-02-01

FOV Analysis

Dot Separation, 10.000000, cm,
Target Distance, 100.000000, cm,
HFOV, 88.984253, degrees,
VFOV, 75.001237, degrees,
DFOV, 106.622497, degrees,

Lateral Color Analysis

Image Size in Pixels
Image Height, 1000
Image Width, 1236
Image Radius, 7.949365e+02

Maximum LCA CPIQ Metric, 0.607771
CPIQ Quality Loss, 0.000000
Maximum LCA in Pixels, 0.759714
Number of Dots, 298

Radial Polynomial Coefficients (radius in normalized units), r^3, r^2, r^1, r^0
, -240.336764, -68.273313
, -240.640488, 0.500000
, -240.336764, 69.273313
, -239.444250, -136.539957
, -239.444250, 137.539957
, -237.979961, -203.840124
, -237.979961, 204.840124
, -236.005963, -269.709659
, -236.005963, 270.709659
, -233.548444, -333.764121
, -233.548444, 334.764121
, -230.724379, -395.755775
, -230.724379, 396.755775
, -227.579170, -455.477688
, -227.579170, 456.477688
, -173.060354, 0.500000
, -172.155694, -137.578326
, -172.843346, -68.828324
, -172.843346, 69.828324
, -172.155694, 138.578326
, -171.086857, -205.344276
, -171.086857, 206.344276
, -169.634344, -271.624740
, -169.634344, 272.624740
, -167.846484, -336.064296
, -167.846480, 337.064335
, -165.757997, -398.371882
, -165.757997, 399.371882
, -163.438044, -458.349879
, -163.438044, 459.349879
, -104.039362, -69.163039
, -104.189369, 0.500000
, -104.039362, 70.163092
, -102.993219, -206.363462
, -103.615982, -138.305179
, -103.615982, 139.305179
, -102.993219, 207.363462
, -102.088101, -272.949228
, -102.088101, 273.949228
, -100.974851, -337.660861
, -100.974851, 338.660861
, -99.693000, -400.160632
, -99.693000, 401.160632
, -98.275371, -460.301585
, -98.275371, 461.301585
, -34.064698, -206.913101
, -34.300415, -138.656332
, -34.436820, -69.333803
, -34.487108, 0.500000
, -34.436820, 70.333803
, -34.300415, 139.656332
, -34.064698, 207.913101
, -33.421473, -338.438864
, -33.773938, -273.627704
, -33.773938, 274.627704
, -33.421473, 339.438864
, -32.491447, -461.290610
, -32.972058, -401.061485
, -32.972058, 402.061485
, -32.491447, 462.290615
, 33.491447, -461.290610
, 33.491447, 462.290615
, 33.972058, -401.061485
, 34.421617, -338.438844
, 34.773938, -273.627704
, 35.064836, -206.913051
, 35.064836, 207.913051
, 34.773938, 274.627704
, 34.421617, 339.438844
, 33.972058, 402.061485
, 35.300547, -138.656286
, 35.436820, -69.333803
, 35.487267, 0.500000
, 35.436820, 70.333803
, 35.300547, 139.656286
, 99.275371, -460.301585
, 99.275371, 461.301585
, 100.693000, -400.160632
, 100.693000, 401.160632
, 101.974851, -337.660861
, 103.088101, -272.949228
, 103.088101, 273.949228
, 101.974851, 338.660861
, 103.993079, -206.363441
, 103.993079, 207.363441
, 104.615982, -138.305179
, 105.039419, -69.163043
, 105.189369, 0.500000
, 105.039419, 70.163090
, 104.615982, 139.305179
, 164.438044, -458.349879
, 164.438044, 459.349879
, 166.757997, -398.371882
, 166.757997, 399.371882
, 168.846484, -336.064296
, 168.846480, 337.064335
